pa,avg,chase_pct,avg_ev,season,full_name,birth_year_clean,age
573.0,0.06607929515418502,0.3653483992467043,80.59459798994975,2022.0,Kyle Farmer,1990,32.0
238.0,0.05458515283842795,0.25792811839323465,83.86028880866425,2022.0,Mitch Haniger,1990,32.0
400.0,0.05765124555160142,0.2774108322324967,82.85050709939142,2022.0,Enrique Hernández,1991,31.0
202.0,0.04834605597964377,0.24438902743142144,79.94315352697092,2022.0,Luke Maile,1991,31.0
559.0,0.03974082073434125,0.16833333333333333,83.29160063391438,2022.0,Max Muncy,1990,32.0
283.0,0.05877034358047016,0.30158730158730157,82.92080745341619,2022.0,Wil Myers,1990,32.0
340.0,0.060211554109031735,0.3767885532591415,81.62209821428573,2022.0,Tyler Naquin,1991,31.0
520.0,0.0661764705882353,0.3427027027027027,83.92723214285715,2022.0,AJ Pollock,1987,35.0
459.0,0.0647870425914817,0.31221719457013575,79.8499121265378,2022.0,Michael A. Taylor,1991,31.0
248.0,0.048507462686567165,0.23652173913043478,83.93535714285714,2022.0,Trayce Thompson,1991,31.0
563.0,0.05368814192343604,0.3029045643153527,82.91860465116285,2022.0,Luke Voit,1991,31.0
661.0,0.05689725747032337,0.2264006139677667,84.3080503144654,2022.0,Christian Walker,1991,31.0
285.0,0.06985645933014355,0.4059590316573557,80.7231111111111,2022.0,Corey Dickerson,1989,33.0
394.0,0.04298356510745891,0.24171779141104294,83.41591928251121,2022.0,Darin Ruf,1986,36.0
547.0,0.04571940833706858,0.21635883905013192,83.31654571843247,2022.0,Mike Yastrzemski,1990,32.0
487.0,0.0577472841623785,0.32020725388601035,83.72456445993033,2022.0,Willson Contreras,1992,30.0
479.0,0.07634470792365529,0.4197802197802198,79.54002642007926,2022.0,Jose Iglesias,1990,32.0
533.0,0.05602636534839925,0.24540441176470587,81.76637298091039,2022.0,Mark Canha,1989,33.0
563.0,0.0696078431372549,0.39473684210526316,81.68872483221482,2022.0,Nick Castellanos,1992,30.0
565.0,0.06429232192414432,0.3002680965147453,83.32193808882913,2022.0,Brandon Drury,1992,30.0
423.0,0.050867743865948535,0.23857302118171683,81.71619047619043,2022.0,Ben Gamel,1992,30.0
687.0,0.06324666198172874,0.22988505747126436,86.7166051660517,2022.0,Aaron Judge,1992,30.0
641.0,0.07268063274903805,0.30757097791798105,84.8248774509804,2022.0,Manny Machado,1992,30.0
