pitches,fb_velocity,spin_rate,chase_pct,season,full_name,birth_year_clean,age
1246.0,93.00867346938774,2178.1785714285716,0.3040650406504065,2022.0,Zach Eflin,1994,28.0
1131.0,95.15489690721651,2259.634020618557,0.30743243243243246,2022.0,Walker Buehler,1994,28.0
1799.0,91.53365853658538,2133.470588235294,0.26461211477151964,2022.0,Paul Blackburn,1993,29.0
665.0,93.23,2227.8,0.26420454545454547,2022.0,Lance McCullers Jr.,1993,29.0
897.0,98.20000000000002,2136.4,0.33064516129032256,2022.0,José Alvarado,1995,27.0
923.0,99.10104438642298,2350.9895561357703,0.3782051282051282,2022.0,Edwin Díaz,1994,28.0
2696.0,93.9971052631579,2243.5855263157896,0.31831610044313147,2022.0,José Berríos,1994,28.0
520.0,91.16,2247.923076923077,0.3023255813953488,2022.0,Ralph Garza Jr.,1994,28.0
975.0,95.87719298245614,2259.3684210526317,0.29320388349514565,2022.0,Duane Underwood Jr.,1994,28.0
1082.0,96.59832402234638,2424.3240223463686,0.3431192660550459,2022.0,A.J. Minter,1993,29.0
969.0,93.22577597840755,2230.6153846153848,0.32669322709163345,2022.0,Colin Poche,1994,28.0
1787.0,94.7552505966587,2321.6825775656325,0.2650462962962963,2022.0,Taylor Hearn,1994,28.0
763.0,94.21875,2304.902777777778,0.2621951219512195,2022.0,Matt Strahm,1991,31.0
915.0,92.85111662531017,2269.6069651741295,0.2964705882352941,2022.0,Tanner Banks,1991,31.0
694.0,,,0.3076923076923077,2022.0,Ty Blach,1990,32.0
2270.0,91.88888888888889,2125.222222222222,0.302158273381295,2022.0,Alex Wood,1991,31.0
757.0,95.77236180904521,2500.711055276382,0.27455919395465994,2022.0,Drew Smith,1993,29.0
736.0,96.14285714285714,2261.464285714286,0.24688279301745636,2022.0,Josh Staumont,1993,29.0
1048.0,,,0.32454361054766734,2022.0,Dillon Tate,1994,28.0
2506.0,97.10679611650485,2349.807317073171,0.2987012987012987,2022.0,Luis Castillo,1992,30.0
1025.0,90.52751091703058,2153.318777292576,0.3182674199623352,2022.0,Nabil Crismatt,1994,28.0
831.0,97.59055374592833,2355.016286644951,0.29333333333333333,2022.0,Seranthony Domínguez,1994,28.0
1521.0,94.2820987654321,2132.7289603960394,0.23513870541611626,2022.0,Antonio Senzatela,1995,27.0
1602.0,96.21345646437993,2247.6776315789475,0.27629911280101394,2022.0,Luis Severino,1994,28.0
1049.0,91.51409691629956,2091.2057522123896,0.23076923076923078,2022.0,Elieser Hernández,1995,27.0
